template,n,mean,median,std,min,max,p25,p75,p95,p99,performance
get_clients_multiple_commandes,1,2241.4,2241.4,,2241.4,2241.4,2241.4,2241.4,2241.4,2241.4,[!] Lent
get_factures_between,3,2253.6,2223.1,59.6,2215.4,2322.2,2219.2,2272.7,2312.3,2320.2,[!] Lent
get_factures_non_payees,3,2247.0,2247.1,0.7,2246.4,2247.7,2246.7,2247.4,2247.6,2247.7,[!] Lent
get_factures_partiellement_payees,3,2464.0,2314.9,306.9,2260.1,2816.9,2287.5,2565.9,2766.7,2806.8,[!] Lent
get_produits_stock_faible,2,2231.2,2231.2,0.9,2230.6,2231.8,2230.9,2231.5,2231.8,2231.8,[!] Lent
get_total_ventes_mois,5,2229.7,2231.3,6.1,2219.4,2235.8,2230.2,2232.0,2235.0,2235.6,[!] Lent
