template,n,duration_mean_ms,duration_p95_ms,duration_p99_ms,duration_min_ms,duration_max_ms,mem_peak_mean_kb,mem_peak_max_kb,rss_delta_mean_mb,cpu_mean_pct,row_count_mean
ca_mois_courant,3,2229.13,2233.08,2233.23,2222.73,2233.27,29.36,29.76,0.0,0.0,1.0
get_factures_between,2,2269.59,2290.08,2291.9,2246.82,2292.36,144.15,161.99,0.8,0.0,157.0
get_factures_non_payees,1,2232.25,2232.25,2232.25,2232.25,2232.25,102.96,102.96,0.0,0.0,100.0
get_factures_partiellement_payees,1,2241.27,2241.27,2241.27,2241.27,2241.27,33.98,33.98,0.0,0.7,13.0
